task_id,condition,prompt_artifact_path,prompt_sha256,prompt_length,frozen_fingerprint,exact_text_available
ce111_nonchoice_q01_part1_exponential_growth,ab1,docs/experiments/results/math16_pilot02_qwen4b/cells/qwen3_5_4b__ce111_nonchoice_q01_part1_exponential_growth__ab1__seed_2026071301/prompt.txt,105840296a8d546e9ca86a9aa27cf92df5da24004f78624f5fd96e031b114d62,690,ce111_nonchoice_q01_part1_exponential_growth__ab1__seed_2026071301,True
ce111_nonchoice_q01_part1_exponential_growth,ab2g,docs/experiments/results/math16_pilot02_qwen4b/cells/qwen3_5_4b__ce111_nonchoice_q01_part1_exponential_growth__ab2g__seed_2026071301/prompt.txt,93f82f61b6271d56cbaf1b7bf1276afc821b055cf767d2e9a496414ee933441e,1047,ce111_nonchoice_q01_part1_exponential_growth__ab2g__seed_2026071301,True
ce111_nonchoice_q01_part1_exponential_growth,ab2d,docs/experiments/results/math16_pilot02_qwen4b/cells/qwen3_5_4b__ce111_nonchoice_q01_part1_exponential_growth__ab2d__seed_2026071301/prompt.txt,1f1491d3b68e9620550398001b27cd72e2f8b6c08c2debbf346396314a69cb42,1511,ce111_nonchoice_q01_part1_exponential_growth__ab2d__seed_2026071301,True
ce111_nonchoice_q01_part1_exponential_growth,ab2d_spec_v2,docs/experiments/results/math16_pilot02_qwen4b/cells/qwen3_5_4b__ce111_nonchoice_q01_part1_exponential_growth__ab2d_spec_v2__seed_2026071301/prompt.txt,5d8e3f4084038b1e99a581bf26ad77e49c295362a076ff374e5614960f38c019,2462,ce111_nonchoice_q01_part1_exponential_growth__ab2d_spec_v2__seed_2026071301,True
ce111_q02_polynomial_division_remainder,ab1,docs/experiments/results/math16_pilot02_qwen4b/cells/qwen3_5_4b__ce111_q02_polynomial_division_remainder__ab1__seed_2026071301/prompt.txt,138e8eae8822fb96a655fd1cfb5c14873f5397fb4b5a09ed617defd5fc0e42e5,687,ce111_q02_polynomial_division_remainder__ab1__seed_2026071301,True
ce111_q02_polynomial_division_remainder,ab2g,docs/experiments/results/math16_pilot02_qwen4b/cells/qwen3_5_4b__ce111_q02_polynomial_division_remainder__ab2g__seed_2026071301/prompt.txt,1cb912077ad2776904919f36b8947a00c6986c58c24c9311c1d8872dbc447e31,1044,ce111_q02_polynomial_division_remainder__ab2g__seed_2026071301,True
ce111_q02_polynomial_division_remainder,ab2d,docs/experiments/results/math16_pilot02_qwen4b/cells/qwen3_5_4b__ce111_q02_polynomial_division_remainder__ab2d__seed_2026071301/prompt.txt,d625ce0bed3b073c6289454121ab9960e1c1965a824c9db6a575d7ecbd3c0aa9,1572,ce111_q02_polynomial_division_remainder__ab2d__seed_2026071301,True
ce111_q02_polynomial_division_remainder,ab2d_spec_v2,docs/experiments/results/math16_pilot02_qwen4b/cells/qwen3_5_4b__ce111_q02_polynomial_division_remainder__ab2d_spec_v2__seed_2026071301/prompt.txt,f9a51940b166e8613557d1490cf1a331467ffd95af8ca96617aeded15c78fb87,3501,ce111_q02_polynomial_division_remainder__ab2d_spec_v2__seed_2026071301,True
ce111_q03_prime_factor_selection,ab1,docs/experiments/results/math16_pilot02_qwen4b/cells/qwen3_5_4b__ce111_q03_prime_factor_selection__ab1__seed_2026071301/prompt.txt,398a9ab7067574286a3f7b6a955033b2f3af8d244d34098aa907623bb706bcc4,613,ce111_q03_prime_factor_selection__ab1__seed_2026071301,True
ce111_q03_prime_factor_selection,ab2g,docs/experiments/results/math16_pilot02_qwen4b/cells/qwen3_5_4b__ce111_q03_prime_factor_selection__ab2g__seed_2026071301/prompt.txt,5436b011cb2be3d0edee52770f8c5a28348f9ef4763ae485b8c6a80798ef1cbf,970,ce111_q03_prime_factor_selection__ab2g__seed_2026071301,True
ce111_q03_prime_factor_selection,ab2d,docs/experiments/results/math16_pilot02_qwen4b/cells/qwen3_5_4b__ce111_q03_prime_factor_selection__ab2d__seed_2026071301/prompt.txt,8704669323fb45ef6bd34331151b350845425d2d14e19b36c58bd2c2c86bc75f,1443,ce111_q03_prime_factor_selection__ab2d__seed_2026071301,True
ce111_q03_prime_factor_selection,ab2d_spec_v2,docs/experiments/results/math16_pilot02_qwen4b/cells/qwen3_5_4b__ce111_q03_prime_factor_selection__ab2d_spec_v2__seed_2026071301/prompt.txt,5417185bc8f5d084bd04d6bf4d346762f6fa4738c6a52d30ea34706f4121e6f0,2419,ce111_q03_prime_factor_selection__ab2d_spec_v2__seed_2026071301,True
ce111_q05_exact_fraction_expression,ab1,docs/experiments/results/math16_pilot02_qwen4b/cells/qwen3_5_4b__ce111_q05_exact_fraction_expression__ab1__seed_2026071301/prompt.txt,321d4fd2830ebc32bfbb64fefd30735af2260cffbb4d5ce695cfe030ca6e2ece,670,ce111_q05_exact_fraction_expression__ab1__seed_2026071301,True
ce111_q05_exact_fraction_expression,ab2g,docs/experiments/results/math16_pilot02_qwen4b/cells/qwen3_5_4b__ce111_q05_exact_fraction_expression__ab2g__seed_2026071301/prompt.txt,9932c16c2dd3109a2f340ae98c4b0e51ef01fe9e024fbcc5f63bab49ef3ae965,1027,ce111_q05_exact_fraction_expression__ab2g__seed_2026071301,True
ce111_q05_exact_fraction_expression,ab2d,docs/experiments/results/math16_pilot02_qwen4b/cells/qwen3_5_4b__ce111_q05_exact_fraction_expression__ab2d__seed_2026071301/prompt.txt,68a00937bf4cad2e185ea854b3d92e6fc9615ee0f045b5c86e81879b64976d4b,1619,ce111_q05_exact_fraction_expression__ab2d__seed_2026071301,True
ce111_q05_exact_fraction_expression,ab2d_spec_v2,docs/experiments/results/math16_pilot02_qwen4b/cells/qwen3_5_4b__ce111_q05_exact_fraction_expression__ab2d_spec_v2__seed_2026071301/prompt.txt,927977168ad6a72c644641fed7ef653495e55279689dc0beb06253033242926d,3790,ce111_q05_exact_fraction_expression__ab2d_spec_v2__seed_2026071301,True
ce111_q08_polynomial_factor_parameter_recovery,ab1,docs/experiments/results/math16_pilot02_qwen4b/cells/qwen3_5_4b__ce111_q08_polynomial_factor_parameter_recovery__ab1__seed_2026071301/prompt.txt,447f8b48f394c373b3fa8d7fa4d11932cdce5b411bbf27f61cc9e822b2670cd4,831,ce111_q08_polynomial_factor_parameter_recovery__ab1__seed_2026071301,True
ce111_q08_polynomial_factor_parameter_recovery,ab2g,docs/experiments/results/math16_pilot02_qwen4b/cells/qwen3_5_4b__ce111_q08_polynomial_factor_parameter_recovery__ab2g__seed_2026071301/prompt.txt,1ddb92a07ec3df5f46360fdf5c9881eb4745bf1f339bac0c6d00e5e41217ac17,1188,ce111_q08_polynomial_factor_parameter_recovery__ab2g__seed_2026071301,True
ce111_q08_polynomial_factor_parameter_recovery,ab2d,docs/experiments/results/math16_pilot02_qwen4b/cells/qwen3_5_4b__ce111_q08_polynomial_factor_parameter_recovery__ab2d__seed_2026071301/prompt.txt,7d993c836b9ef40b49f4c57d44a4c2e08ef6a895b0f2e522f0e7c029fba0a27a,1724,ce111_q08_polynomial_factor_parameter_recovery__ab2d__seed_2026071301,True
ce111_q08_polynomial_factor_parameter_recovery,ab2d_spec_v2,docs/experiments/results/math16_pilot02_qwen4b/cells/qwen3_5_4b__ce111_q08_polynomial_factor_parameter_recovery__ab2d_spec_v2__seed_2026071301/prompt.txt,4e8f345ad99e87317c2bb38ce741268ce4f57d9e2ca98518eea4f37fb36fb477,3254,ce111_q08_polynomial_factor_parameter_recovery__ab2d_spec_v2__seed_2026071301,True
ce111_q10_ordered_quadratic_roots_radical,ab1,docs/experiments/results/math16_pilot02_qwen4b/cells/qwen3_5_4b__ce111_q10_ordered_quadratic_roots_radical__ab1__seed_2026071301/prompt.txt,8371aff72b11bd70ea327920302233f5b7d60c0e6e594daa5ce635ef386d56fb,774,ce111_q10_ordered_quadratic_roots_radical__ab1__seed_2026071301,True
ce111_q10_ordered_quadratic_roots_radical,ab2g,docs/experiments/results/math16_pilot02_qwen4b/cells/qwen3_5_4b__ce111_q10_ordered_quadratic_roots_radical__ab2g__seed_2026071301/prompt.txt,6179a8fb58654189712d53044e6df49b7171ccf57f1b1666d3e735f38758a766,1131,ce111_q10_ordered_quadratic_roots_radical__ab2g__seed_2026071301,True
ce111_q10_ordered_quadratic_roots_radical,ab2d,docs/experiments/results/math16_pilot02_qwen4b/cells/qwen3_5_4b__ce111_q10_ordered_quadratic_roots_radical__ab2d__seed_2026071301/prompt.txt,79e4e1abeee04352b1acfd797ec10815f2614f37bd4c94f0090c6ffef957d2c6,1861,ce111_q10_ordered_quadratic_roots_radical__ab2d__seed_2026071301,True
ce111_q10_ordered_quadratic_roots_radical,ab2d_spec_v2,docs/experiments/results/math16_pilot02_qwen4b/cells/qwen3_5_4b__ce111_q10_ordered_quadratic_roots_radical__ab2d_spec_v2__seed_2026071301/prompt.txt,87ee0595a5ca441c1e15e5e7131277be034462d69eb6b3f90435a4d2507857f2,2877,ce111_q10_ordered_quadratic_roots_radical__ab2d_spec_v2__seed_2026071301,True
ce112_q01_negative_integer_power,ab1,docs/experiments/results/math16_pilot02_qwen4b/cells/qwen3_5_4b__ce112_q01_negative_integer_power__ab1__seed_2026071301/prompt.txt,d7f97e59388da3962bab6c3b0b55ebacdb7679340bf7955215431120c98301c9,598,ce112_q01_negative_integer_power__ab1__seed_2026071301,True
ce112_q01_negative_integer_power,ab2g,docs/experiments/results/math16_pilot02_qwen4b/cells/qwen3_5_4b__ce112_q01_negative_integer_power__ab2g__seed_2026071301/prompt.txt,cf486895c58fc5f91aaf2ba8cb03259f0eb98cb10d99a9d8a5734721bfdd7edb,955,ce112_q01_negative_integer_power__ab2g__seed_2026071301,True
