cell_id,task_id,condition,seed,original_response_sha256,original_response_byte_length,method1_evaluated_artifact_sha256,method1_candidate_hash,method1_raw_response_sha256,method1_artifact_vs_candidate_differ,method2_raw_source_sha256,method2_raw_source_actual_sha256_recomputed,method2_final_source_sha256,method2_extraction_method,method2_extraction_status,source_byte_length_method2_raw,parse_status_method2_raw,method1_final_status,method1_g1_parse,method1_eligibility_record_exists,method2_raw_status,status_changes,method1_eligibility_source_present,method1_healer_eligible,method1_eligibility_reason,method1_matched_rule_probe,method2_eligible,method2_rule_id,method2_rule_triggered,method2_source_changed_flag,artifact_vs_m2raw_source_differ,candidate_vs_m2raw_source_differ,eligibility_only_diff,classification
qwen3_5_4b__ce111_nonchoice_q01_part1_exponential_growth__ab1__seed_2026071301,ce111_nonchoice_q01_part1_exponential_growth,ab1,2026071301,047b4471bcfe02e94c9ff7d6d60c4209f2bbf614c75a5931c99373b02e390609,436,c010c7682a9a7dd0382e4721366238db6f0a533913c21e6c01201678825a882f,047b4471bcfe02e94c9ff7d6d60c4209f2bbf614c75a5931c99373b02e390609,047b4471bcfe02e94c9ff7d6d60c4209f2bbf614c75a5931c99373b02e390609,True,047b4471bcfe02e94c9ff7d6d60c4209f2bbf614c75a5931c99373b02e390609,047b4471bcfe02e94c9ff7d6d60c4209f2bbf614c75a5931c99373b02e390609,047b4471bcfe02e94c9ff7d6d60c4209f2bbf614c75a5931c99373b02e390609,plain_text,extracted,436,parses_ok,FAILED,PASS,True,FAILED,False,True,False,No frozen allowlist rule triggered.,,False,,False,False,True,False,False,equivalent_extraction
qwen3_5_4b__ce111_nonchoice_q01_part1_exponential_growth__ab1__seed_2026072001,ce111_nonchoice_q01_part1_exponential_growth,ab1,2026072001,eb09044eec18707421aa6150422097476d98c1cb8a9dcb34a49e7f6c4016ff5b,616,825fdd5408a555682d4d23e41a23408317f2c2231710ad4c70bcbb55b5fc2e58,eb09044eec18707421aa6150422097476d98c1cb8a9dcb34a49e7f6c4016ff5b,eb09044eec18707421aa6150422097476d98c1cb8a9dcb34a49e7f6c4016ff5b,True,eb09044eec18707421aa6150422097476d98c1cb8a9dcb34a49e7f6c4016ff5b,eb09044eec18707421aa6150422097476d98c1cb8a9dcb34a49e7f6c4016ff5b,eb09044eec18707421aa6150422097476d98c1cb8a9dcb34a49e7f6c4016ff5b,plain_text,extracted,616,parses_ok,FAILED,PASS,True,FAILED,False,True,False,No frozen allowlist rule triggered.,,False,,False,False,True,False,False,equivalent_extraction
qwen3_5_4b__ce111_nonchoice_q01_part1_exponential_growth__ab1__seed_2026072002,ce111_nonchoice_q01_part1_exponential_growth,ab1,2026072002,f2bdc879c324b192e70942df60b83f86a0861be32cc32f9c132ffd84450a957d,452,bb80931bcbabf0353d22dd6fba52f2b689d33cd5922c197c5b3a00990312e628,f2bdc879c324b192e70942df60b83f86a0861be32cc32f9c132ffd84450a957d,f2bdc879c324b192e70942df60b83f86a0861be32cc32f9c132ffd84450a957d,True,f2bdc879c324b192e70942df60b83f86a0861be32cc32f9c132ffd84450a957d,f2bdc879c324b192e70942df60b83f86a0861be32cc32f9c132ffd84450a957d,f2bdc879c324b192e70942df60b83f86a0861be32cc32f9c132ffd84450a957d,plain_text,extracted,452,parses_ok,FAILED,PASS,True,FAILED,False,True,False,No frozen allowlist rule triggered.,,False,,False,False,True,False,False,equivalent_extraction
qwen3_5_4b__ce111_nonchoice_q01_part1_exponential_growth__ab1__seed_2026072003,ce111_nonchoice_q01_part1_exponential_growth,ab1,2026072003,aea0f64e314b3a744a4640c5c82cdea3aec0334248be2655882c20cdebc45c17,1104,5f978ace72f07ec60fe1fa61fbbb2132516605aed91c88fcb0bc4d28868c4d32,aea0f64e314b3a744a4640c5c82cdea3aec0334248be2655882c20cdebc45c17,aea0f64e314b3a744a4640c5c82cdea3aec0334248be2655882c20cdebc45c17,True,aea0f64e314b3a744a4640c5c82cdea3aec0334248be2655882c20cdebc45c17,aea0f64e314b3a744a4640c5c82cdea3aec0334248be2655882c20cdebc45c17,aea0f64e314b3a744a4640c5c82cdea3aec0334248be2655882c20cdebc45c17,plain_text,extracted,1104,parses_ok,FAILED,PASS,True,FAILED,False,True,False,No frozen allowlist rule triggered.,,False,,False,False,True,False,False,equivalent_extraction
qwen3_5_4b__ce111_nonchoice_q01_part1_exponential_growth__ab1__seed_2026072004,ce111_nonchoice_q01_part1_exponential_growth,ab1,2026072004,cd0ede34e571c19b0f2530eccb3c00d70599e9952f73b56f01178b3b72f48d86,657,f947ae88402abf602197a5bf76023f2a2e6bc387f13f16f81ea29c80c1814372,cd0ede34e571c19b0f2530eccb3c00d70599e9952f73b56f01178b3b72f48d86,cd0ede34e571c19b0f2530eccb3c00d70599e9952f73b56f01178b3b72f48d86,True,cd0ede34e571c19b0f2530eccb3c00d70599e9952f73b56f01178b3b72f48d86,cd0ede34e571c19b0f2530eccb3c00d70599e9952f73b56f01178b3b72f48d86,cd0ede34e571c19b0f2530eccb3c00d70599e9952f73b56f01178b3b72f48d86,plain_text,extracted,657,parses_ok,FAILED,PASS,True,FAILED,False,True,False,No frozen allowlist rule triggered.,,False,,False,False,True,False,False,equivalent_extraction
qwen3_5_4b__ce111_nonchoice_q01_part1_exponential_growth__ab2d__seed_2026071301,ce111_nonchoice_q01_part1_exponential_growth,ab2d,2026071301,1fe1222a4105e6b917e21fa5a3541178631c9bb87b1665ddcf5100b390104a42,1216,84436147e316c03d34ef247593813ba2de9068596a45a637dca8f76db6ec9410,1fe1222a4105e6b917e21fa5a3541178631c9bb87b1665ddcf5100b390104a42,1fe1222a4105e6b917e21fa5a3541178631c9bb87b1665ddcf5100b390104a42,True,1fe1222a4105e6b917e21fa5a3541178631c9bb87b1665ddcf5100b390104a42,1fe1222a4105e6b917e21fa5a3541178631c9bb87b1665ddcf5100b390104a42,1fe1222a4105e6b917e21fa5a3541178631c9bb87b1665ddcf5100b390104a42,plain_text,extracted,1216,syntax_error,FAILED,PASS,True,FAILED,False,True,False,No frozen allowlist rule triggered.,,False,,False,False,True,False,False,extraction_abstain_difference
qwen3_5_4b__ce111_nonchoice_q01_part1_exponential_growth__ab2d__seed_2026072001,ce111_nonchoice_q01_part1_exponential_growth,ab2d,2026072001,b67e98dabcf4af7a9419ef786a3c553723dc4ee6ff09b24a023e6e651ece1a57,1402,08732319688d1551d8c5e539a45338a155118dfd74821fbbd22efb921cd87844,b67e98dabcf4af7a9419ef786a3c553723dc4ee6ff09b24a023e6e651ece1a57,b67e98dabcf4af7a9419ef786a3c553723dc4ee6ff09b24a023e6e651ece1a57,True,b67e98dabcf4af7a9419ef786a3c553723dc4ee6ff09b24a023e6e651ece1a57,b67e98dabcf4af7a9419ef786a3c553723dc4ee6ff09b24a023e6e651ece1a57,b67e98dabcf4af7a9419ef786a3c553723dc4ee6ff09b24a023e6e651ece1a57,plain_text,extracted,1402,syntax_error,FAILED,PASS,True,FAILED,False,True,False,No frozen allowlist rule triggered.,,False,,False,False,True,False,False,extraction_abstain_difference
qwen3_5_4b__ce111_nonchoice_q01_part1_exponential_growth__ab2d__seed_2026072002,ce111_nonchoice_q01_part1_exponential_growth,ab2d,2026072002,0a9ee95e33325819750d81a8378c368b9298de836474aa1729ffd2728450020d,1633,b8ff64b63f8d08d5cccbc2fa985c74e609263d70349f1ffaaeb596c1b610d77a,0a9ee95e33325819750d81a8378c368b9298de836474aa1729ffd2728450020d,0a9ee95e33325819750d81a8378c368b9298de836474aa1729ffd2728450020d,True,0a9ee95e33325819750d81a8378c368b9298de836474aa1729ffd2728450020d,0a9ee95e33325819750d81a8378c368b9298de836474aa1729ffd2728450020d,0a9ee95e33325819750d81a8378c368b9298de836474aa1729ffd2728450020d,plain_text,extracted,1633,parses_ok,FAILED,PASS,True,FAILED,False,True,False,No frozen allowlist rule triggered.,,False,,False,False,True,False,False,equivalent_extraction
qwen3_5_4b__ce111_nonchoice_q01_part1_exponential_growth__ab2d__seed_2026072003,ce111_nonchoice_q01_part1_exponential_growth,ab2d,2026072003,f12bdad9237477bfc45baa5f69d8a0140dc300dac106a4478f36e16ca9717b86,1838,a3097ad170aa2b3640559eff7ac1f531a094b7258eacc5320f0797a60d65bdd0,f12bdad9237477bfc45baa5f69d8a0140dc300dac106a4478f36e16ca9717b86,f12bdad9237477bfc45baa5f69d8a0140dc300dac106a4478f36e16ca9717b86,True,f12bdad9237477bfc45baa5f69d8a0140dc300dac106a4478f36e16ca9717b86,f12bdad9237477bfc45baa5f69d8a0140dc300dac106a4478f36e16ca9717b86,f12bdad9237477bfc45baa5f69d8a0140dc300dac106a4478f36e16ca9717b86,plain_text,extracted,1838,parses_ok,FAILED,PASS,True,FAILED,False,True,False,No frozen allowlist rule triggered.,,False,,False,False,True,False,False,equivalent_extraction
qwen3_5_4b__ce111_nonchoice_q01_part1_exponential_growth__ab2d__seed_2026072004,ce111_nonchoice_q01_part1_exponential_growth,ab2d,2026072004,88ba60451e08eb0d009c3edd9cb08c1cb0d6128ed84a244e16b0a1132281bea5,1183,2a44e952522407b2e7a0cb4df7264e487927aec44da91545e751dfaa62819f25,88ba60451e08eb0d009c3edd9cb08c1cb0d6128ed84a244e16b0a1132281bea5,88ba60451e08eb0d009c3edd9cb08c1cb0d6128ed84a244e16b0a1132281bea5,True,88ba60451e08eb0d009c3edd9cb08c1cb0d6128ed84a244e16b0a1132281bea5,88ba60451e08eb0d009c3edd9cb08c1cb0d6128ed84a244e16b0a1132281bea5,88ba60451e08eb0d009c3edd9cb08c1cb0d6128ed84a244e16b0a1132281bea5,plain_text,extracted,1183,parses_ok,FAILED,PASS,True,FAILED,False,True,False,No frozen allowlist rule triggered.,,False,,False,False,True,False,False,equivalent_extraction
